ID_Card,P_Name,Surname,Nationality,Draft_year,Name_fr,Position
100000000,Mike,Woodson,"united states",2019,"Chicago Bulls",44
100000000,Mike,Woodson,"united states",2019,"Washington Wizards",37
100000000,Mike,Woodson,"united states",2019,"New York Knicks",23
100000000,Mike,Woodson,"united states",2019,"Memphis Grizzlies",40
100000000,Mike,Woodson,"united states",2019,"Golden State Warriors",2
100000000,Mike,Woodson,"united states",2019,"Oklahoma City Thunder",53
100000000,Mike,Woodson,"united states",2019,"Chicago Bulls",4
100000000,Mike,Woodson,"united states",2019,"San Antonio Spurs",11
100000000,Mike,Woodson,"united states",2019,"New York Knicks",8
100000000,Mike,Woodson,"united states",2019,"Sacramento Kings",35
100000000,Mike,Woodson,"united states",2019,"Dallas Mavericks",31
100000000,Mike,Woodson,"united states",2019,"Portland Trail Blazers",16
100000000,Mike,Woodson,"united states",2019,"Indiana Pacers",54
100000000,Mike,Woodson,"united states",2019,"New Orleans Pelicans",42
100000000,Mike,Woodson,"united states",2019,"Philadelphia 76ers",58
100000000,Mike,Woodson,"united states",2019,"Sacramento Kings",43
100000000,Mike,Woodson,"united states",2019,"Oklahoma City Thunder",25
100000000,Mike,Woodson,"united states",2019,"Boston Celtics",26
100000000,Mike,Woodson,"united states",2019,"Minnesota Timberwolves",17
100000000,Mike,Woodson,"united states",2019,"Los Angeles Clippers",57
100000000,Mike,Woodson,"united states",2019,"Minnesota Timberwolves",33
100000000,Mike,Woodson,"united states",2019,"Cleveland Cavaliers",5
100000000,Mike,Woodson,"united states",2019,"Atlanta Hawks",6
100000000,Mike,Woodson,"united states",2019,"Milwaukee Bucks",45
100000000,Mike,Woodson,"united states",2019,"Denver Nuggets",22
100000000,Mike,Woodson,"united states",2019,"Boston Celtics",14
100000000,Mike,Woodson,"united states",2019,"New Orleans Pelicans",60
100000000,Mike,Woodson,"united states",2019,"Los Angeles Lakers",28
100000000,Mike,Woodson,"united states",2019,"Atlanta Hawks",50
100000000,Mike,Woodson,"united states",2019,"Philadelphia 76ers",21
